product_name,product_id,in_stock,city,store_address,store_phone_number,store_id,stock_level,last_updated
Glenfiddich 14 Year Old Bourbon Barrel Reserve,203517,Yes,Vaughan,9970 Dufferin Street,(905) 879-1139,715842271,69,"12/30/2020, 13:15:55"
Four Roses Small Batch Bourbon,56294,Yes,Richmond hill,12300 Yonge Street,(905) 773-5275,715841851,41,"12/30/2020, 13:15:55"
Hibiki Harmony,61344,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Eagle Rare 10 Year Old Kentucky Straight Bourbon,65616,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Caribou Crossing Single Barrel Canadian Whisky,99510,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Blanton's Original Bourbon,56284,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Blanton's Single Barrel Special Reserve Kentucky Straight Bourbon,64174,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Clynelish 14 Year Old Single Malt Scotch Whisky,105003,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Michter's US-1 Single Barrel Rye Whiskey,59906,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
W. L. Weller 12-Year-Old Kentucky Straight Bourbon,56807,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
W.L. Weller Special Reserve Bourbon,59181,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Alberta Premium Cask Strength Rye (2019),299017,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Elijah Craig Barrel Proof,115515,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Redbreast 12 Year Old Cask Strength Irish Whiskey,60321,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
Talisker 15-Year-Old Single Malt Scotch Whisky,328509,No,N/A,N/A,N/A,0,0,"12/30/2020, 13:15:55"
